Pfam domain	# of occurrences	Pfam domain Name
PF00180	5	isocitrate/isopropylmalate dehydrogenase
PF01630	5	hyaluronidase
PF00152	5	trna synthetases class ii (d, k and n) 
PF13896	5	glycosyl-transferase for dystroglycan
PF13906	5	c-terminus of aa_permease
PF13774	5	regulated-snare-like domain
PF05192	5	muts domain iii
PF00488	5	muts domain v
PF00711	5	beta defensin
PF02201	5	swib/mdm2 domain
PF02769	5	air synthase related protein, c-terminal domain
PF00550	5	phosphopantetheine attachment site
PF02785	5	biotin carboxylase c-terminal domain
PF00289	5	biotin carboxylase, n-terminal domain
PF09261	5	alpha mannosidase middle domain
PF07748	5	glycosyl hydrolases family 38 c-terminal domain
PF01074	5	glycosyl hydrolases family 38 n-terminal domain
PF01167	5	tub family
PF02017	5	cide-n domain
PF19026	5	hypk uba domain
PF08151	5	feri (nuc094) domain
PF11945	5	wahd domain of wash complex
PF11002	5	rfpl defining motif (rdm)
PF13840	5	act domain 
PF03351	5	domon domain
PF08718	5	glycolipid transfer protein (gltp)
PF13344	5	haloacid dehalogenase-like hydrolase
PF13242	5	had-hyrolase-like
PF16005	5	kh-like rna-binding domain
PF02732	5	ercc4 domain
PF02824	5	tgs domain
PF03803	5	scramblase 
PF05715	4	piccolo zn-finger
PF11799	4	impb/mucb/samb family c-terminal domain
PF02822	4	antistasin family
PF16487	4	mid domain of argonaute
PF16486	4	n-terminal domain of argonaute
PF18150	4	domain of unknown function (duf5600)
PF09162	4	tap, rna-binding
PF15409	4	pleckstrin homology domain
PF16423	4	transcription factor coe1 helix-loop-helix domain
PF16422	4	transcription factor coe1 dna-binding domain
PF04495	4	grasp55/65 pdz-like domain 
PF05386	4	tep1 n-terminal domain
PF10502	4	signal peptidase, peptidase s26 
PF09005	4	domain of unknown function (duf1897)
PF03096	4	ndr family
PF18201	4	pih1 cs-like domain
PF18574	4	c2hc zing finger domain
PF05154	4	tm2 domain
PF01416	4	trna pseudouridine synthase
PF14921	4	adenomatosis polyposis coli down-regulated 1
PF00773	4	rnb domain
PF18346	4	mind bomb sh3 repeat domain
PF16519	4	tetramerisation domain of trpm
PF12783	4	guanine nucleotide exchange factor in golgi transport n-terminal
PF07159	4	cyria/cyrib rac1 binding domain
PF19038	4	third longin domain of fuz, mon1 and hps1
PF19037	4	second longin domain of fuz, mon1 and hps1
PF19036	4	first longin domain of fuz, mon1 and hps1
PF11904	4	gpcr-chaperone
PF10541	4	nuclear envelope localisation domain
PF04670	4	gtr1/raga g protein conserved region
PF07984	4	nucleotidyltransferase 
PF10358	4	n-terminal c2 in eeig1 and ehbp1 proteins
PF13638	4	pin domain
PF14719	4	phosphotyrosine interaction domain (ptb/pid)
PF13891	4	potential dna-binding domain
PF11819	4	cytohesin ubiquitin protein inducing domain
PF10256	4	golgin subfamily a member 7/erf4 family
PF15913	4	furin-like repeat, cysteine-rich
PF04434	4	swim zinc finger
PF16367	4	rna recognition motif
PF16366	4	cytoplasmic polyadenylation element-binding protein zz domain
PF07469	4	domain of unknown function (duf1518) 
PF01505	4	major vault protein repeat domain
PF08332	4	calcium/calmodulin dependent protein kinase ii association domain
PF02301	4	horma domain
PF13959	4	domain of unknown function (duf4217)
PF15815	4	e3 ubiquitin-protein ligase makorin, c-terminal
PF13602	4	zinc-binding dehydrogenase
PF17787	4	ph domain
PF00382	4	transcription factor tfiib repeat
PF19033	4	intu longin-like domain 3
PF19031	4	first longin domain of intu, ccz1 and hps4
PF07292	4	nmi/ifp 35 domain (nid)
PF10600	4	pdz-associated domain of nmda receptors
PF08059	4	sep domain
PF13836	4	domain of unknown function (duf4195)
PF01144	4	coenzyme a transferase
PF05175	4	methyltransferase small domain
PF00549	4	coa-ligase
PF17780	4	ocre domain
PF14836	4	ubiquitin-like domain
PF07529	4	hsa
PF04926	4	poly(a) polymerase predicted rna binding domain
PF03388	4	legume-like lectin family
PF08669	4	glycine cleavage t-protein c-terminal barrel domain
PF01571	4	aminomethyltransferase folate-binding domain
PF02737	4	3-hydroxyacyl-coa dehydrogenase, nad binding domain
PF06328	4	ig-like c2-type domain
PF02880	4	phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain iii
PF02879	4	phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain ii
PF08766	4	dek c terminal domain
PF00596	4	class ii aldolase and adducin n-terminal domain
PF17830	4	sti1 domain
PF08271	4	tfiib zinc-binding
PF17725	4	yap binding domain
PF01285	4	tea/atts domain
PF18100	4	phosphodiesterase 4 upstream conserved regions (ucr)
PF00726	4	interleukin 10
PF02114	4	phosducin
PF14709	4	double strand rna binding domain from dead end protein 1
PF01301	4	glycosyl hydrolases family 35
PF18373	4	spectrin like domain
PF07474	4	g2f domain
PF03764	4	elongation factor g, domain iv
PF08782	4	c-ski smad4 binding domain
PF00478	4	imp dehydrogenase / gmp reductase domain
PF02882	4	tetrahydrofolate dehydrogenase/cyclohydrolase, nad(p)-binding domain
PF00763	4	tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain
PF11918	4	n-terminal domain of peptidase_s41 in eukaryotic irbp
PF00111	4	2fe-2s iron-sulfur cluster binding domain
PF13656	4	rna polymerase rpb3/rpb11 dimerisation domain
PF09443	4	cripto_frl-1_cryptic (cfc)
PF18695	4	cytosolic phospholipases a2 c2-domain
PF00355	4	rieske [2fe-2s] domain
PF09360	4	iron-binding zinc finger cdgsh type
PF01088	4	ubiquitin carboxyl-terminal hydrolase, family 1
PF00235	4	profilin
PF02807	4	atp:guanido phosphotransferase, n-terminal domain
PF00217	4	atp:guanido phosphotransferase, c-terminal catalytic domain
PF00245	4	alkaline phosphatase
PF14716	4	helix-hairpin-helix domain
PF10391	4	fingers domain of dna polymerase lambda
PF00243	4	nerve growth factor family
PF00965	4	tissue inhibitor of metalloproteinase
PF00351	4	biopterin-dependent aromatic amino acid hydroxylase
PF16739	4	caspase recruitment domain
PF11835	4	rrm-like domain
PF00348	4	polyprenyl synthetase
PF03366	4	yeats family
PF13489	4	methyltransferase domain
PF01182	4	glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
PF01048	4	phosphorylase superfamily
PF13899	4	thioredoxin-like
PF01380	4	sis domain
PF17226	4	mta r1 domain
PF16124	4	recq zinc-binding
PF14324	4	pinit domain
PF18148	4	regulator of g-protein signalling dhex domain
PF00551	4	formyl transferase
PF12901	4	suz-c motif
PF17171	4	glutathione s-transferase, c-terminal domain
PF17035	4	bromodomain extra-terminal - transcription regulation
PF00684	4	dnaj central domain
PF01591	4	6-phosphofructo-2-kinase
PF02494	4	hyr domain
PF18379	4	ferm f1 ubiquitin-like domain
PF18377	4	ferm f2 acyl-coa binding protein-like domain
PF17887	4	jak1 pleckstrin homology-like domain
PF16363	4	gdp-mannose 4,6 dehydratase
PF00917	4	math domain
PF01253	4	translation initiation factor sui1
PF05902	4	4.1 protein c-terminal domain (ctd)
PF04382	4	sab domain
PF12026	4	crk-associated substrate c-terminal domain
PF02826	4	d-isomer specific 2-hydroxyacid dehydrogenase, nad binding domain
PF00389	4	d-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF12068	4	rab-binding domain (rbd)
PF05190	4	muts family domain iv
PF05188	4	muts domain ii
PF16159	4	foxp coiled-coil domain
PF18568	4	trim c-terminal subgroup one signature domain
PF08313	4	sca7, zinc-binding domain
PF08926	4	domain of unknown function (duf1908)
PF19057	4	ph domain
PF08976	4	ef-hand domain
PF00145	4	c-5 cytosine-specific dna methylase
PF12352	4	snare region anchored in the vesicle membrane c-terminus
PF01414	4	delta serrate ligand
PF13882	4	bravo-like intracellular region
PF00198	4	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF12052	4	voltage gated calcium channel subunit beta domain 4aa n terminal
PF07651	4	anth domain
PF01712	4	deoxynucleoside kinase
PF01565	4	fad binding domain 
PF15177	4	interleukin-28a
PF10534	4	connector enhancer of kinase suppressor of ras
PF16676	4	transactivation domain of foxo protein family
PF00113	4	enolase, c-terminal tim barrel domain
PF01652	4	eukaryotic initiation factor 4e
PF07502	4	manec domain
PF03712	4	copper type ii ascorbate-dependent monooxygenase, c-terminal domain
PF01082	4	copper type ii ascorbate-dependent monooxygenase, n-terminal domain
PF07200	4	modifier of rudimentary (mod(r)) protein
PF18039	4	uba-like domain
PF04828	4	glutathione-dependent formaldehyde-activating enzyme
PF03105	3	spx domain
PF17980	3	cysteine rich add domain in dnmt3
PF17867	3	midasin aaa lid domain
PF11601	3	shal-type voltage-gated potassium channels, n-terminal
PF13238	3	aaa domain
PF03029	3	conserved hypothetical atp binding protein
PF18387	3	zinc-fingers and homeoboxes c2h2 finger domain
PF07452	3	chrd domain
PF00485	3	phosphoribulokinase / uridine kinase family
PF02926	3	thump domain
PF07162	3	ciliary basal body-associated, b9 protein
PF01434	3	peptidase family m41
PF09409	3	pub domain
PF13850	3	endoplasmic reticulum-golgi intermediate compartment (ergic)
PF08190	3	pih1 n-terminal domain
PF00398	3	ribosomal rna adenine dimethylase
PF10456	3	wasp-binding domain of sorting nexin protein
PF03259	3	roadblock/lc7 domain
PF07535	3	dbf zinc finger
PF00994	3	probable molybdopterin binding domain
PF06294	3	ch-like domain in sperm protein
PF12848	3	abc transporter
PF12701	3	scd6-like sm domain
PF09532	3	fdf domain
PF10469	3	akap7 2'5' rna ligase-like domain
PF13679	3	methyltransferase domain
PF05225	3	helix-turn-helix, psq domain
PF09596	3	maml-1 domain
PF08174	3	cell division protein anillin
PF17849	3	dis3-like cold-shock domain 2 (csd2)
PF17216	3	rrp44-like cold shock domain
PF14444	3	s1-like
PF10283	3	pbz domain
PF13918	3	pld-like domain
PF10197	3	n-terminal domain of cbf1 interacting co-repressor cir
PF14360	3	pap2 superfamily c-terminal
PF18112	3	autophagy receptor zinc finger-c2h2 domain
PF18124	3	kindlin-2 n-terminal domain
PF09273	3	rubisco lsmt substrate-binding
PF16674	3	n-terminal of ubiquitin carboxyl-terminal hydrolase 37
PF03992	3	antibiotic biosynthesis monooxygenase
PF11261	3	interferon regulatory factor 2-binding protein zinc finger
PF01170	3	putative rna methylase family upf0020
PF17913	3	fha domain
PF13911	3	ahpc/tsa antioxidant enzyme
PF13922	3	phd domain of transcriptional enhancer, asx
PF13919	3	asx homology domain
PF11232	3	mediator complex subunit 25 ptov activation and synapsin 2
PF05624	3	lipolysis stimulated receptor (lsr)
PF18995	3	proteolysis_6 c-terminal
PF07522	3	dna repair metallo-beta-lactamase
PF16866	3	phd-finger
PF01595	3	cyclin m transmembrane n-terminal domain
PF05207	3	csl zinc finger
PF03638	3	tesmin/tso1-like cxc domain, cysteine-rich domain
PF19627	3	activity-dependent neuroprotector homeobox protein n-terminal
PF12706	3	beta-lactamase superfamily domain
PF17888	3	carmil pleckstrin homology domain
PF03474	3	dmrta motif
PF03476	3	mosc n-terminal beta barrel domain
PF03473	3	mosc domain
PF19088	3	tutase nucleotidyltransferase domain
PF16661	3	metallo-beta-lactamase superfamily domain
PF10996	3	beta-casp domain
PF17490	3	l1 transposable element dsrbd-like domain
PF12456	3	inositol phosphatase 
PF16453	3	ph domain
PF13847	3	methyltransferase domain
PF18561	3	endoribonuclease regnase 1/ zc3h12 c-terminal domain
PF16016	3	vad1 analog of star-related lipid transfer domain
PF02894	3	oxidoreductase family, c-terminal alpha/beta domain
PF01026	3	tatd related dnase
PF14560	3	ubiquitin-like domain
PF16652	3	pleckstrin homology domain
PF08832	3	steroid receptor coactivator
PF08815	3	nuclear receptor coactivator
PF12752	3	suz domain
PF08235	3	lns2 (lipin/ned1/smp2)
PF08781	3	transcription factor dp
PF18012	3	ph domain
PF08947	3	bps (between ph and sh2) 
PF08074	3	chdct2 (nuc038) domain
PF08073	3	chdnt (nuc034) domain
PF06465	3	domain of unknown function (duf1087)
PF06461	3	domain of unknown function (duf1086)
PF05118	3	aspartyl/asparaginyl beta-hydroxylase
PF10433	3	mono-functional dna-alkylating methyl methanesulfonate n-term
PF14875	3	n-term cysteine-rich er, fam69
PF16474	3	kinase non-catalytic c-lobe domain
PF11971	3	camsap ch domain
PF08683	3	microtubule-binding calmodulin-regulated spectrin-associated
PF13877	3	potential monad-binding region of rpap3
PF17958	3	ef-hand domain
PF04629	3	islet cell autoantigen ica69, c-terminal domain
PF00853	3	runt domain
PF08703	3	plc-beta c terminal
PF19032	3	intu longin-like domain 2
PF10608	3	polyubiquitination (pest) n-terminal domain of maguk
PF17802	3	prealbumin-like fold domain
PF13472	3	gdsl-like lipase/acylhydrolase family
PF01287	3	eukaryotic elongation factor 5a hypusine, dna-binding ob fold
PF09066	3	beta2-adaptin appendage, c-terminal sub-domain
PF00338	3	ribosomal protein s10p/s20e
PF13676	3	tir domain
PF08824	3	serine rich protein interaction domain
PF02295	3	adenosine deaminase z-alpha domain
PF05746	3	dalr anticodon binding domain
PF00570	3	hrdc domain
PF02115	3	rho protein gdp dissociation inhibitor
PF18336	3	fragile x mental retardation tudor domain
PF17904	3	fmrp kh0 domain
PF05641	3	agenet domain
PF04928	3	poly(a) polymerase central domain
PF18253	3	hsp70-interacting protein n n-terminal domain
PF16484	3	carnitine o-palmitoyltransferase n-terminus
PF00294	3	pfkb family carbohydrate kinase
PF01230	3	hit domain
PF03501	3	plectin/s10 domain
PF01479	3	s4 domain
PF19292	3	phosphorylase b kinase c-terminal domain
PF01393	3	chromo shadow domain
PF05577	3	serine carboxypeptidase s28
PF18193	3	fibrillin 1 unique n-terminal domain
PF08542	3	replication factor c c-terminal domain
PF00692	3	dutpase
PF03909	3	bsd domain  
PF14748	3	pyrroline-5-carboxylate reductase dimerisation
PF08080	3	rnphf zinc finger
PF03446	3	nad binding domain of 6-phosphogluconate dehydrogenase
PF04565	3	rna polymerase rpb2, domain 3
PF04561	3	rna polymerase rpb2, domain 2
PF04560	3	rna polymerase rpb2, domain 7
PF00562	3	rna polymerase rpb2, domain 6
PF01161	3	phosphatidylethanolamine-binding protein
PF02898	3	nitric oxide synthase, oxygenase domain
PF00456	3	transketolase, thiamine diphosphate binding domain
PF02142	3	mgs-like domain
PF00252	3	ribosomal protein l16p/l10e
PF05191	3	adenylate kinase, active site lid
PF10506	3	pdz domain of mcc-2 bdg protein for usher syndrome
PF03949	3	malic enzyme, nad binding domain
PF00390	3	malic enzyme, n-terminal domain
PF08075	3	nops (nuc059) domain
PF19326	3	amp deaminase
PF02762	3	cbl proto-oncogene n-terminus, sh2-like domain
PF02761	3	cbl proto-oncogene n-terminus, ef hand-like domain
PF02262	3	cbl proto-oncogene n-terminal domain 1
PF00586	3	air synthase related protein, n-terminal domain
PF08071	3	rs4nt (nuc023) domain
PF01596	3	o-methyltransferase
PF00694	3	aconitase c-terminal domain
PF01112	3	asparaginase
PF01624	3	muts domain i
PF14478	3	domain of unknown function (duf4430)
PF16644	3	regulatory region of na+/h+ exchanger nhe binds to calmodulin
PF01564	3	spermine/spermidine synthase domain
PF01068	3	atp dependent dna ligase domain
PF00327	3	ribosomal protein l30p/l7e
PF17988	3	vegfr-2 transmembrane domain
PF08562	3	crisp
PF01244	3	membrane dipeptidase (peptidase family m19)
PF17809	3	upa domain
PF02297	3	cytochrome oxidase c subunit vib
PF00264	3	common central domain of tyrosinase
PF00838	3	translationally controlled tumour protein
PF13393	3	histidyl-trna synthetase
PF00682	3	hmgl-like
PF11928	3	early growth response n-terminal domain
PF00450	3	serine carboxypeptidase
PF00717	3	peptidase s24-like
PF19309	3	frem protein n-terminal domain
PF05406	3	wgr domain
PF02877	3	poly(adp-ribose) polymerase, regulatory domain
PF00645	3	poly(adp-ribose) polymerase and dna-ligase zn-finger region
PF00733	3	asparagine synthase
PF00749	3	trna synthetases class i (e and q), catalytic domain
PF00728	3	glycosyl hydrolase family 20, catalytic domain
PF14792	3	dna polymerase beta palm 
PF03952	3	enolase, n-terminal domain
PF01858	3	retinoblastoma-associated protein a domain
PF01857	3	retinoblastoma-associated protein b domain
PF17777	3	insertion domain in 60s ribosomal protein l10p
PF00491	3	arginase family
PF12925	3	e2 domain of amyloid precursor protein
PF12924	3	copper-binding of amyloid precursor, cubd
PF02177	3	amyloid a4 n-terminal heparin-binding
PF00206	3	lyase
PF00274	3	fructose-bisphosphate aldolase class-i
PF09291	3	domain of unknown function (duf1968)
PF00962	3	adenosine deaminase
PF17982	3	nsd cys-his rich domain
PF01221	3	dynein light chain type 1 
PF18119	3	rig-i receptor c-terminal domain
PF11648	3	c-terminal domain of rig-i
PF08969	3	usp8 dimerisation domain
PF17921	3	integrase zinc binding domain
PF19018	3	vanin c-terminal domain
PF19039	3	ask kinase ph domain
PF13281	3	map3k trafs-binding domain
PF19422	3	ariadne domain
PF01409	3	trna synthetases class ii core domain (f)
PF17814	3	lish-like dimerisation domain
PF14703	3	cytosolic domain of 10tm putative phosphate transporter
PF07524	3	bromodomain associated
PF05517	3	p25-alpha 
PF13522	3	glutamine amidotransferase domain
PF00687	3	ribosomal protein l1p/l10e family
PF02911	3	formyl transferase, c-terminal domain
PF07986	3	tubulin binding cofactor c
PF07830	3	protein serine/threonine phosphatase 2c, c-terminal domain
PF02230	3	phospholipase/carboxylesterase
PF03066	3	nucleoplasmin/nucleophosmin domain
PF06220	3	u1 zinc finger
PF16568	3	tyrosine-rich domain of sam68
PF16274	3	qua1 domain
PF02213	3	gyf domain
PF07700	3	haem-no-binding
PF08295	3	sin3 family co-repressor
PF02728	3	copper amine oxidase, n3 domain
PF02727	3	copper amine oxidase, n2 domain
PF01179	3	copper amine oxidase, enzyme domain
PF13469	3	sulfotransferase family
PF00670	3	s-adenosyl-l-homocysteine hydrolase, nad binding domain
PF10470	3	pka-ri-rii subunit binding domain of a-kinase anchor protein
PF05047	3	mitochondrial ribosomal protein l51 / s25 / ci-b8 domain 
PF08788	3	nhr2 domain like
PF06544	3	protein of unknown function (duf1115)
PF01085	3	hedgehog amino-terminal signalling domain
PF14061	3	polycomb-like mtf2 factor 2
PF12851	3	oxygenase domain of the 2ogfedo superfamily 
PF00730	3	hhh-gpd superfamily base excision dna repair protein
PF14523	3	syntaxin-like protein
PF00870	3	p53 dna-binding domain
PF14603	3	helically-extended sh3 domain
PF09128	3	regulator of g protein signalling-like domain
PF12931	3	sec23-binding domain of sec16
PF10581	3	synapsin n-terminal
PF02750	3	synapsin, atp binding domain
PF02078	3	synapsin, n-terminal domain
PF02784	3	pyridoxal-dependent decarboxylase, pyridoxal binding domain
PF00278	3	pyridoxal-dependent decarboxylase, c-terminal sheet domain
PF13091	3	pld-like domain
PF05000	3	rna polymerase rpb1, domain 4
PF04998	3	rna polymerase rpb1, domain 5
PF04997	3	rna polymerase rpb1, domain 1
PF04983	3	rna polymerase rpb1, domain 3
PF00623	3	rna polymerase rpb1, domain 2
PF09007	3	ebp50, c-terminal
PF13907	3	domain of unknown function (duf4208)
PF00080	3	copper/zinc superoxide dismutase (sodc)
PF01176	3	translation initiation factor 1a / if-1
PF10291	3	muniscin c-terminal mu homology domain
PF08916	3	phenylalanine zipper
PF17677	3	glycosyl hydrolases family 38 c-terminal beta sandwich domain
PF03171	3	2og-fe(ii) oxygenase superfamily
PF16454	3	phosphatidylinositol 3-kinase regulatory subunit p85 inter-sh2 domain
PF07670	3	nucleoside recognition
PF13409	3	glutathione s-transferase, n-terminal domain
PF02913	3	fad linked oxidases, c-terminal domain
PF03782	3	amop domain
PF13898	3	domain of unknown function (duf4205)
PF00144	3	beta-lactamase
PF03853	3	yjef-related protein n-terminus
PF08312	3	cwf21 domain
PF00903	3	glyoxalase/bleomycin resistance protein/dioxygenase superfamily
PF18700	3	cytosolic arginine sensor for mtorc1 subunit 1 n-terminal domain
PF01187	3	macrophage migration inhibitory factor (mif)
PF05587	3	anthrax receptor extracellular domain
PF14671	3	dual specificity protein phosphatase, n-terminal half
PF17047	3	synaptotagmin-like mitochondrial-lipid-binding domain
PF16191	3	ubiquitin-activating enzyme e1 four-helix bundle
PF16190	3	ubiquitin-activating enzyme e1 fcch domain
PF10585	3	ubiquitin-activating enzyme active site 
PF09358	3	ubiquitin fold domain
PF08165	3	fera (nuc095) domain
PF17832	3	pre-pua-like domain
PF15277	3	exocyst complex component sec3 n-terminal pip2 binding ph
PF16511	2	n-terminal or f0 domain of talin-head ferm
PF09141	2	talin, middle domain
PF08913	2	vinculin binding site
PF17856	2	tip49 aaa-lid domain
PF06068	2	tip49 p-loop domain
PF06886	2	targeting protein for xklp2 (tpx2) domain
PF14566	2	inositol hexakisphosphate
PF12125	2	d domain of beta-trcp
PF16381	2	coatomer subunit gamma-1 c-terminal appendage platform
PF08752	2	coatomer gamma subunit appendage platform subdomain
PF18404	2	glucosyltransferase 24
PF18403	2	thioredoxin-like domain
PF18402	2	thioredoxin-like domain
PF18401	2	thioredoxin-like domain
PF18400	2	thioredoxin-like domain
PF06427	2	udp-glucose:glycoprotein glucosyltransferase
PF01070	2	fmn-dependent dehydrogenase
PF12923	2	ribosomal rna-processing protein 7 (rrp7) c-terminal domain
PF10537	2	atp-utilising chromatin assembly and remodelling n-terminal
PF05002	2	sgs domain 
PF18392	2	cop9 signalosome complex subunit 7a helix i domain
PF01937	2	damage-control phosphatase armt1-like domain
PF08585	2	recq mediated genome instability protein
PF02906	2	iron only hydrogenase large subunit, c-terminal domain
PF02256	2	iron hydrogenase small subunit
PF01883	2	iron-sulfur cluster assembly protein
PF11464	2	rabenosyn rab binding domain
PF03987	2	autophagocytosis associated protein, active-site domain 
PF03943	2	tap c-terminal domain
PF08154	2	nle (nuc135) domain
PF18384	2	unkempt zinc finger domain 1 (znf1)
PF16959	2	renal amino acid transporter
PF15327	2	tankyrase binding protein c terminal domain
PF06951	2	group xii secretory phospholipase a2 precursor (pla2g12)
PF18517	2	leucine zipper with capping helix domain
PF13925	2	con80 domain of katanin
PF06468	2	spondin_n
PF04430	2	protein of unknown function (duf498/duf598)
PF16545	2	cerebral cavernous malformation protein, harmonin-homology 
PF08159	2	nuc153 domain
PF08152	2	guct (nuc152) domain
PF17817	2	pdz domain
PF10263	2	sprt-like family
PF12148	2	tandem tudor domain within uhrf1
PF02182	2	sad/sra domain
PF16566	2	cell-cycle alteration and expression-elevated protein in tumour
PF19286	2	domain of unknown function (duf5909)
PF13888	2	myelin gene regulatory factor c-terminal domain 2
PF13887	2	myelin regulatory factor ica domain
PF13884	2	chaperone of endosialidase
PF08442	2	atp-grasp domain
PF03966	2	trm112p-like protein
PF04410	2	gar1/naf1 rna binding region
PF19722	2	sentrin-specific protease 3/5 n-terminal
PF10497	2	zinc-finger domain of monoamine-oxidase a repressor r1
PF16578	2	interleukin 17 receptor d
PF16556	2	interleukin-17 receptor, fibronectin-iii-like domain 1
PF18414	2	c2h2 type zinc-finger 
PF09816	2	rna polymerase ii transcription elongation factor
PF14681	2	uracil phosphoribosyltransferase
PF06466	2	pcaf (p300/cbp-associated factor) n-terminal domain
PF18031	2	ubiquitin carboxyl-terminal hydrolases
PF13353	2	4fe-4s single cluster domain
PF03662	2	glycosyl hydrolase family 79, n-terminal domain 
PF14438	2	ataxin 2 sm domain
PF06741	2	lsmad domain
PF16455	2	ubiquitin-binding domain
PF13949	2	alix v-shaped domain binding to hiv 
PF10367	2	vacuolar sorting protein 39 domain 2
PF13705	2	trc8 n-terminal domain
PF17215	2	s1 domain
PF15965	2	traf-like zinc-finger
PF06831	2	formamidopyrimidine-dna glycosylase h2th domain
PF13604	2	aaa domain
PF05826	2	phospholipase a2
PF01974	2	trna intron endonuclease, catalytic c-terminal domain
PF07933	2	protein of unknown function (duf1681)
PF09402	2	man1-src1p-c-terminal domain
PF16653	2	saccharopine dehydrogenase c-terminal domain
PF03781	2	sulfatase-modifying factor enzyme 1
PF13917	2	zinc knuckle
PF10660	2	iron-containing outer mitochondrial membrane protein n-terminus  
PF03942	2	dtw domain
PF18755	2	restriction enzyme adenine methylase associated
PF13846	2	domain of unknown function (duf4196)
PF12129	2	male germ-cell putative homeodomain transcription factor
PF03483	2	b3/4 domain
PF15412	2	binding domain of nse4/eid3 to nse3-mage
PF08743	2	nse4 c-terminal
PF14705	2	costars
PF07884	2	vitamin k epoxide reductase family
PF08166	2	nuc202 domain
PF17846	2	xrn1 helical domain
PF16741	2	mrna-decapping enzyme c-terminus
PF06058	2	dcp1-like decapping family
PF18911	2	pkd domain
PF08443	2	rimk-like atp-grasp domain
PF14816	2	coiled-coil and nse interacting (canin) domain
PF19257	2	buran domain
PF19256	2	laika domain
PF14443	2	dbc1
PF05743	2	uev domain
PF15176	2	leucine-rich repeat family 19 tm domain
PF08433	2	chromatin associated protein kti12 
PF08210	2	apobec-like n-terminal domain
PF12145	2	eukaryotic mediator 12 subunit domain
PF12144	2	eukaryotic mediator 12 catenin-binding domain
PF09497	2	transcription mediator complex subunit med12
PF14821	2	threonine synthase n terminus
PF16975	2	ly6/plaur domain-containing protein 6, lypd6
PF06657	2	centrosome microtubule-binding domain of cep57
PF00701	2	dihydrodipicolinate synthetase family
PF09297	2	nadh pyrophosphatase zinc ribbon domain
PF09296	2	nadh pyrophosphatase-like rudimentary nudix domain
PF13696	2	zinc knuckle
PF16017	2	btb/poz domain
PF19426	2	mesoderm induction early response protein 1 beta c-terminal
PF18606	2	zap  helix turn helix n-terminal domain
PF14822	2	vasohibin
PF17674	2	hhh domain
PF18436	2	helical box domain of e3 ubiquitin-protein ligase hecw1
PF16562	2	n-terminal domain of e3 ubiquitin-protein ligase hecw1 and 2
PF18408	2	c2h2 hakai zinc finger domain
PF18296	2	mid domain of medpiwi
PF06333	2	mediator complex subunit 13 c-terminal domain
PF18567	2	toll/interleukin-1 receptor domain
PF14545	2	dof, bcap, and bank (dbb) motif,
PF08729	2	hpc2 and ubinuclein domain
PF19548	2	chordin-like protein 1/2 c-terminal
PF13543	2	sam like domain present in kinase suppressor ras 1
PF13897	2	golgi-dynamics membrane-trafficking
PF07691	2	pa14 domain
PF05903	2	pppde putative peptidase domain
PF15625	2	cc2d2a n-terminal c2 domain
PF08014	2	domain of unknown function (duf1704)
PF18212	2	znrf-3 ectodomain
PF18111	2	retinitis pigmentosa g-protein regulator interacting c-terminal
PF11618	2	first c2 domain of rpgr-interacting protein 1
PF01938	2	tram domain
PF02368	2	bacterial ig-like domain (group 2)
PF19339	2	domain of unknown function (duf5922)
PF16794	2	fibronectin-iii type domain
PF13757	2	vault protein inter-alpha-trypsin domain
PF18386	2	roquin ii domain
PF02994	2	l1 transposable element rbd-like domain
PF01202	2	shikimate kinase
PF18584	2	synaptonemal complex 2 spt16m-like domain
PF16575	2	mrna cleavage and polyadenylation factor clp1 p-loop
PF16317	2	glycosyl hydrolase family 99
PF06047	2	nf-kappa-b-activating protein c-terminal domain
PF16553	2	bcorl-pcgf1-binding domain
PF13880	2	esco1/2 acetyl-transferase
PF13878	2	zinc-finger of acetyl-transferase esco
PF12180	2	tsg101 and alix binding domain of cep55
PF18292	2	zinc transporter zip4 domain
PF15057	2	domain of unknown function (duf4537)
PF13916	2	pp1-regulatory protein, phostensin n-terminal
PF13914	2	phostensin pp1-binding and sh3-binding region
PF15780	2	abnormal spindle-like microcephaly-assoc'd, aspm-spd-2-hydin
PF19280	2	ceramide kinase c-terminal domain
PF15056	2	neuritin protein family
PF17906	2	hth domain in mos1 transposase
PF05270	2	alpha-l-arabinofuranosidase b (abfb) domain
PF05044	2	homeo-prospero domain
PF13915	2	domain of unknown function (duf4210)
PF18382	2	formin n-terminal gtpase-binding domain
PF00834	2	ribulose-phosphate 3 epimerase family
PF07693	2	kap family p-loop domain
PF08778	2	hif-1 alpha c terminal transactivation domain
PF02291	2	transcription initiation factor iid, 31kd subunit
PF08565	2	cdc37 hsp90 binding domain
PF03441	2	fad binding domain of dna photolyase
PF00875	2	dna photolyase
PF04194	2	programmed cell death protein 2, c-terminal putative domain 
PF18264	2	cxc domain
