Pocket Set	Domain	PDB	Chain	DOI hyperlink
PDB-LIG	Q5FWF5_PF13880_763_831	4MXE	A	http://doi.org/10.2210/pdb4MXE/pdb
PDB-LIG	Q5S007_PF00069_1881_2132	7LI4	A	http://doi.org/10.2210/pdb7LI4/pdb
PDB-LIG	Q5S007_PF08477_1336_1455	7LI4	A	http://doi.org/10.2210/pdb7LI4/pdb
PDB-LIG	Q5TA50_PF08718_27_177	4K84	A	http://doi.org/10.2210/pdb4K84/pdb
PDB-LIG	Q5TCX8_PF07714_124_398	4UYA	A	http://doi.org/10.2210/pdb4UYA/pdb
PDB-LIG	Q5TCY1_PF00069_34_305	4NFN	A	http://doi.org/10.2210/pdb4NFN/pdb
PDB-LIG	Q5VTE6_PF03372_170_533	6RVZ	A	http://doi.org/10.2210/pdb6RVZ/pdb
PDB-LIG	Q5VWZ2_PF02230_9_229	5KRE	A	http://doi.org/10.2210/pdb5KRE/pdb
PDB-LIG	Q6B0I6_PF02373_179_295	6H10	A	http://doi.org/10.2210/pdb6H10/pdb
PDB-LIG	Q6DD88_PF02263_36_310	5VGR	A	http://doi.org/10.2210/pdb5VGR/pdb
PDB-LIG	Q6IA69_PF02540_337_651	6OFB	B	http://doi.org/10.2210/pdb6OFB/pdb
PDB-LIG	Q6IMI6_PF00685_46_297	2REO	A	http://doi.org/10.2210/pdb2REO/pdb
PDB-LIG	Q6IQ22_PF00071_44_206	2IL1	A	http://doi.org/10.2210/pdb2IL1/pdb
PDB-LIG	Q6IQ55_PF00069_21_272	6VRF	A	http://doi.org/10.2210/pdb6VRF/pdb
PDB-LIG	Q6L8Q7_PF03372_298_599	4Z2B	A	http://doi.org/10.2210/pdb4Z2B/pdb
PDB-LIG	Q6NVY1_PF16113_46_376	3BPT	A	http://doi.org/10.2210/pdb3BPT/pdb
PDB-LIG	Q6NYC1_PF02373_174_288	6MEV	A	http://doi.org/10.2210/pdb6MEV/pdb
PDB-LIG	Q6P179_PF01433_298_541	7PFS	A	http://doi.org/10.2210/pdb7PFS/pdb
PDB-LIG	Q6P6C2_PF13532_92_293	4NRQ	A	http://doi.org/10.2210/pdb4NRQ/pdb
PDB-LIG	Q6PHR2_PF00069_14_270	6FDY	U	http://doi.org/10.2210/pdb6FDY/pdb
PDB-LIG	Q6PHW0_PF00881_97_267	5YAK	E	http://doi.org/10.2210/pdb5YAK/pdb
PDB-LIG	Q6PL18_PF00439_993_1074	5R4V	A	http://doi.org/10.2210/pdb5R4V/pdb
PDB-LIG	Q6UWP2_PF00106_12_214	1XG5	B	http://doi.org/10.2210/pdb1XG5/pdb
PDB-LIG	Q6UWY2_PF00089_34_258	4Q7Z	A	http://doi.org/10.2210/pdb4Q7Z/pdb
PDB-LIG	Q6V1X1_PF00326_683_891	7OR4	B	http://doi.org/10.2210/pdb7OR4/pdb
PDB-LIG	Q6VAB6_PF07714_666_928	7JUR	B	http://doi.org/10.2210/pdb7JUR/pdb
PDB-LIG	Q6VVX0_PF00067_40_498	3CZH	B	http://doi.org/10.2210/pdb3CZH/pdb
PDB-LIG	Q6YN16_PF00106_11_209	3KVO	A	http://doi.org/10.2210/pdb3KVO/pdb
PDB-LIG	Q712K3_PF00179_12_169	6NYO	A	http://doi.org/10.2210/pdb6NYO/pdb
PDB-LIG	Q71U36_PF00091_3_214	6WSL	A	http://doi.org/10.2210/pdb6WSL/pdb
PDB-LIG	Q7KZF4_PF00565_220_328	7KNW	A	http://doi.org/10.2210/pdb7KNW/pdb
PDB-LIG	Q7KZI7_PF00069_53_304	5EAK	A	http://doi.org/10.2210/pdb5EAK/pdb
PDB-LIG	Q7L0Q8_PF00071_51_223	2Q3H	A	http://doi.org/10.2210/pdb2Q3H/pdb
PDB-LIG	Q7L1T6_PF00175_395_503	6MV2	A	http://doi.org/10.2210/pdb6MV2/pdb
PDB-LIG	Q7L523_PF04670_9_235	6S6D	A	http://doi.org/10.2210/pdb6S6D/pdb
PDB-LIG	Q7L8A9_PF14822_58_302	6J7B	A	http://doi.org/10.2210/pdb6J7B/pdb
PDB-LIG	Q7LBC6_PF02373_1594_1704	5RB5	A	http://doi.org/10.2210/pdb5RB5/pdb
PDB-LIG	Q7RTN6_PF00069_69_379	3GNI	B	http://doi.org/10.2210/pdb3GNI/pdb
PDB-LIG	Q7Z4W1_PF13561_14_242	3D3W	B	http://doi.org/10.2210/pdb3D3W/pdb
PDB-LIG	Q86TI2_PF00326_658_863	6X6C	A	http://doi.org/10.2210/pdb6X6C/pdb
PDB-LIG	Q86TM3_PF00270_246_417	3IUY	B	http://doi.org/10.2210/pdb3IUY/pdb
PDB-LIG	Q86U86_PF00439_186_275	6ZNV	A	http://doi.org/10.2210/pdb6ZNV/pdb
PDB-LIG	Q86U86_PF00439_667_751	5FH7	B	http://doi.org/10.2210/pdb5FH7/pdb
PDB-LIG	Q86UE8_PF00069_462_741	5O0Y	A	http://doi.org/10.2210/pdb5O0Y/pdb
PDB-LIG	Q86UW9_PF18102_480_614	6Y3J	A	http://doi.org/10.2210/pdb6Y3J/pdb
PDB-LIG	Q86V25_PF14822_47_291	6J4P	A	http://doi.org/10.2210/pdb6J4P/pdb
PDB-LIG	Q86VU5_PF01596_59_262	2AVD	A	http://doi.org/10.2210/pdb2AVD/pdb
PDB-LIG	Q86WA6_PF00561_61_195	2OCI	A	http://doi.org/10.2210/pdb2OCI/pdb
PDB-LIG	Q86WJ1_PF00176_49_328	7EPU	B	http://doi.org/10.2210/pdb7EPU/pdb
PDB-LIG	Q86Y01_PF18102_479_613	6Y5P	B	http://doi.org/10.2210/pdb6Y5P/pdb
PDB-LIG	Q86Y07_PF00069_29_311	5UU1	A	http://doi.org/10.2210/pdb5UU1/pdb
PDB-LIG	Q86YS6_PF00071_20_182	2HUP	A	http://doi.org/10.2210/pdb2HUP/pdb
PDB-LIG	Q86YV6_PF00069_106_361	2X4F	B	http://doi.org/10.2210/pdb2X4F/pdb
PDB-LIG	Q8IU60_PF00293_95_221	5QOQ	A	http://doi.org/10.2210/pdb5QOQ/pdb
PDB-LIG	Q8IU85_PF00069_23_279	6T6F	B	http://doi.org/10.2210/pdb6T6F/pdb
PDB-LIG	Q8IUN9_PF00059_198_306	6PY1	A	http://doi.org/10.2210/pdb6PY1/pdb
PDB-LIG	Q8IVH4_PF03308_101_384	2WWW	D	http://doi.org/10.2210/pdb2WWW/pdb
PDB-LIG	Q8IVH8_PF00069_16_273	5J5T	A	http://doi.org/10.2210/pdb5J5T/pdb
PDB-LIG	Q8IVS2_PF00698_64_346	2C2N	A	http://doi.org/10.2210/pdb2C2N/pdb
PDB-LIG	Q8IVT5_PF07714_613_877	7JUW	B	http://doi.org/10.2210/pdb7JUW/pdb
PDB-LIG	Q8IVW4_PF00069_4_286	3ZDU	A	http://doi.org/10.2210/pdb3ZDU/pdb
PDB-LIG	Q8IWA4_PF00350_78_238	5GOM	A	http://doi.org/10.2210/pdb5GOM/pdb
PDB-LIG	Q8IXI2_PF00071_6_168	6D71	B	http://doi.org/10.2210/pdb6D71/pdb
PDB-LIG	Q8IYK8_PF00071_116_279	3CBQ	A	http://doi.org/10.2210/pdb3CBQ/pdb
PDB-LIG	Q8IYM1_PF00735_46_323	6MQ9	A	http://doi.org/10.2210/pdb6MQ9/pdb
PDB-LIG	Q8IYT8_PF00069_9_271	6QAV	C	http://doi.org/10.2210/pdb6QAV/pdb
PDB-LIG	Q8IZ41_PF00071_543_710	2P5S	B	http://doi.org/10.2210/pdb2P5S/pdb
PDB-LIG	Q8IZT8_PF00685_90_339	3BD9	A	http://doi.org/10.2210/pdb3BD9/pdb
PDB-LIG	Q8IZX4_PF00439_1530_1614	5IGL	A	http://doi.org/10.2210/pdb5IGL/pdb
PDB-LIG	Q8N1Q1_PF00194_12_261	5OGJ	B	http://doi.org/10.2210/pdb5OGJ/pdb
PDB-LIG	Q8N371_PF13621_192_416	6I9L	A	http://doi.org/10.2210/pdb6I9L/pdb
PDB-LIG	Q8N423_PF13895_28_118	6BCS	A	http://doi.org/10.2210/pdb6BCS/pdb
PDB-LIG	Q8N465_PF01565_100_239	6LPN	A	http://doi.org/10.2210/pdb6LPN/pdb
PDB-LIG	Q8N4Q0_PF00107_184_322	2C0C	A	http://doi.org/10.2210/pdb2C0C/pdb
PDB-LIG	Q8N4T8_PF13561_8_234	4CQM	B	http://doi.org/10.2210/pdb4CQM/pdb
PDB-LIG	Q8N543_PF13661_141_238	4NHY	A	http://doi.org/10.2210/pdb4NHY/pdb
PDB-LIG	Q8N5S9_PF00069_128_409	6CCF	B	http://doi.org/10.2210/pdb6CCF/pdb
PDB-LIG	Q8N5Z0_PF00155_43_417	5TF5	B	http://doi.org/10.2210/pdb5TF5/pdb
PDB-LIG	Q8N6N7_PF00887_4_79	3EPY	A	http://doi.org/10.2210/pdb3EPY/pdb
PDB-LIG	Q8N6R0_PF01564_472_628	5WCJ	A	http://doi.org/10.2210/pdb5WCJ/pdb
PDB-LIG	Q8N8N7_PF00107_166_305	2ZB4	A	http://doi.org/10.2210/pdb2ZB4/pdb
PDB-LIG	Q8NB16_PF07714_209_466	7MON	A	http://doi.org/10.2210/pdb7MON/pdb
PDB-LIG	Q8NB78_PF01593_392_820	4HSU	A	http://doi.org/10.2210/pdb4HSU/pdb
PDB-LIG	Q8NBP7_PF00082_177_437	6U3X	B	http://doi.org/10.2210/pdb6U3X/pdb
PDB-LIG	Q8NBZ7_PF16363_92_387	2B69	A	http://doi.org/10.2210/pdb2B69/pdb
PDB-LIG	Q8NC06_PF00887_13_92	2WH5	E	http://doi.org/10.2210/pdb2WH5/pdb
PDB-LIG	Q8NCM8_PF12774_1651_1986	4RH7	A	http://doi.org/10.2210/pdb4RH7/pdb
PDB-LIG	Q8NCM8_PF12775_2262_2433	4RH7	A	http://doi.org/10.2210/pdb4RH7/pdb
PDB-LIG	Q8NCM8_PF12780_2625_2882	4RH7	A	http://doi.org/10.2210/pdb4RH7/pdb
PDB-LIG	Q8NHV1_PF04548_9_221	3ZJC	A	http://doi.org/10.2210/pdb3ZJC/pdb
PDB-LIG	Q8NI60_PF03109_299_541	5I35	A	http://doi.org/10.2210/pdb5I35/pdb
PDB-LIG	Q8NI77_PF00225_17_355	3LRE	B	http://doi.org/10.2210/pdb3LRE/pdb
PDB-LIG	Q8TAI7_PF00071_8_169	3OES	A	http://doi.org/10.2210/pdb3OES/pdb
PDB-LIG	Q8TBC4_PF00899_56_366	1R4N	B	http://doi.org/10.2210/pdb1R4N/pdb
PDB-LIG	Q8TBG4_PF00202_26_433	6TOR	B	http://doi.org/10.2210/pdb6TOR/pdb
PDB-LIG	Q8TCB7_PF08242_84_183	7EZG	A	http://doi.org/10.2210/pdb7EZG/pdb
PDB-LIG	Q8TDQ0_PF07686_21_130	7M3Y	B	http://doi.org/10.2210/pdb7M3Y/pdb
PDB-LIG	Q8TDX5_PF04909_3_330	4IH3	D	http://doi.org/10.2210/pdb4IH3/pdb
PDB-LIG	Q8TDX7_PF00069_34_292	2WQN	A	http://doi.org/10.2210/pdb2WQN/pdb
PDB-LIG	Q8TE76_PF13589_48_182	7K7T	B	http://doi.org/10.2210/pdb7K7T/pdb
PDB-LIG	Q8TEK3_PF08123_115_317	6TE6	A	http://doi.org/10.2210/pdb6TE6/pdb
PDB-LIG	Q8WU08_PF00069_23_281	4FR4	F	http://doi.org/10.2210/pdb4FR4/pdb
PDB-LIG	Q8WUD1_PF00071_8_169	2A5J	A	http://doi.org/10.2210/pdb2A5J/pdb
PDB-LIG	Q8WUI4_PF00850_541_859	3C10	A	http://doi.org/10.2210/pdb3C10/pdb
PDB-LIG	Q8WVM0_PF00398_26_303	6AAX	A	http://doi.org/10.2210/pdb6AAX/pdb
PDB-LIG	Q8WWP7_PF04548_28_238	3V70	A	http://doi.org/10.2210/pdb3V70/pdb
PDB-LIG	Q8WWQ0_PF00439_1325_1409	5S9G	A	http://doi.org/10.2210/pdb5S9G/pdb
PDB-LIG	Q8WXF7_PF02263_43_314	6B9F	B	http://doi.org/10.2210/pdb6B9F/pdb
PDB-LIG	Q92506_PF13561_18_260	2PD6	B	http://doi.org/10.2210/pdb2PD6/pdb
PDB-LIG	Q92599_PF00735_41_314	6UPR	B	http://doi.org/10.2210/pdb6UPR/pdb
PDB-LIG	Q92630_PF00069_222_535	5LXC	A	http://doi.org/10.2210/pdb5LXC/pdb
PDB-LIG	Q92730_PF00071_15_188	3Q3J	B	http://doi.org/10.2210/pdb3Q3J/pdb
PDB-LIG	Q92731_PF00104_283_482	3OLL	A	http://doi.org/10.2210/pdb3OLL/pdb
PDB-LIG	Q92769_PF00850_29_320	7KBG	A	http://doi.org/10.2210/pdb7KBG/pdb
PDB-LIG	Q92772_PF00069_4_287	4AAA	A	http://doi.org/10.2210/pdb4AAA/pdb
PDB-LIG	Q92793_PF00439_1094_1180	5I86	A	http://doi.org/10.2210/pdb5I86/pdb
PDB-LIG	Q92830_PF00439_737_820	6J3P	A	http://doi.org/10.2210/pdb6J3P/pdb
PDB-LIG	Q92831_PF00439_732_815	5FE6	A	http://doi.org/10.2210/pdb5FE6/pdb
PDB-LIG	Q92835_PF03372_409_701	5RW2	A	http://doi.org/10.2210/pdb5RW2/pdb
PDB-LIG	Q92876_PF00089_22_237	1LO6	A	http://doi.org/10.2210/pdb1LO6/pdb
PDB-LIG	Q92918_PF00069_17_274	7R9N	A	http://doi.org/10.2210/pdb7R9N/pdb
PDB-LIG	Q92963_PF00071_23_184	4KLZ	A	http://doi.org/10.2210/pdb4KLZ/pdb
PDB-LIG	Q92997_PF00595_249_334	6ZC7	B	http://doi.org/10.2210/pdb6ZC7/pdb
PDB-LIG	Q93091_PF00074_29_147	6MV7	A	http://doi.org/10.2210/pdb6MV7/pdb
PDB-LIG	Q95460_PF00129_23_198	6PUD	A	http://doi.org/10.2210/pdb6PUD/pdb
PDB-LIG	Q969G6_PF01687_2_130	1NB9	A	http://doi.org/10.2210/pdb1NB9/pdb
PDB-LIG	Q969R5_PF02820_540_608	3F70	A	http://doi.org/10.2210/pdb3F70/pdb
PDB-LIG	Q96A58_PF00071_8_169	2ATV	A	http://doi.org/10.2210/pdb2ATV/pdb
PDB-LIG	Q96AT9_PF00834_6_201	3OVP	B	http://doi.org/10.2210/pdb3OVP/pdb
PDB-LIG	Q96BM9_PF00025_8_181	2H18	A	http://doi.org/10.2210/pdb2H18/pdb
PDB-LIG	Q96C45_PF00069_4_280	6U5L	A	http://doi.org/10.2210/pdb6U5L/pdb
PDB-LIG	Q96CA5_PF00653_90_155	2I3I	A	http://doi.org/10.2210/pdb2I3I/pdb
PDB-LIG	Q96DA2_PF00071_10_173	6S5F	A	http://doi.org/10.2210/pdb6S5F/pdb
PDB-LIG	Q96E17_PF00071_32_193	6Y7G	B	http://doi.org/10.2210/pdb6Y7G/pdb
PDB-LIG	Q96EP1_PF10283_632_661	2XOZ	B	http://doi.org/10.2210/pdb2XOZ/pdb
PDB-LIG	Q96F15_PF04548_28_239	6Z3E	A	http://doi.org/10.2210/pdb6Z3E/pdb
PDB-LIG	Q96GD4_PF00069_77_327	4AF3	A	http://doi.org/10.2210/pdb4AF3/pdb
PDB-LIG	Q96GX5_PF00069_35_202	5LOH	B	http://doi.org/10.2210/pdb5LOH/pdb
PDB-LIG	Q96HN2_PF00670_370_531	3GVP	A	http://doi.org/10.2210/pdb3GVP/pdb
PDB-LIG	Q96HN2_PF05221_319_610	3GVP	B	http://doi.org/10.2210/pdb3GVP/pdb
PDB-LIG	Q96HU8_PF00071_9_171	2ERX	B	http://doi.org/10.2210/pdb2ERX/pdb
PDB-LIG	Q96I15_PF00266_32_430	3GZD	A	http://doi.org/10.2210/pdb3GZD/pdb
PDB-LIG	Q96IY4_PF00246_129_411	4P10	A	http://doi.org/10.2210/pdb4P10/pdb
PDB-LIG	Q96JA3_PF08718_330_472	5KDI	B	http://doi.org/10.2210/pdb5KDI/pdb
PDB-LIG	Q96KC2_PF00025_1_176	1YZG	A	http://doi.org/10.2210/pdb1YZG/pdb
PDB-LIG	Q96KS0_PF13640_282_375	5V1B	A	http://doi.org/10.2210/pdb5V1B/pdb
PDB-LIG	Q96L34_PF00069_59_310	5ES1	A	http://doi.org/10.2210/pdb5ES1/pdb
PDB-LIG	Q96LA8_PF13649_86_182	4QQK	A	http://doi.org/10.2210/pdb4QQK/pdb
PDB-LIG	Q96LI5_PF03372_192_529	5DV4	A	http://doi.org/10.2210/pdb5DV4/pdb
PDB-LIG	Q96MU7_PF04146_355_432	6T02	A	http://doi.org/10.2210/pdb6T02/pdb
PDB-LIG	Q96NX5_PF00069_23_277	2JAM	B	http://doi.org/10.2210/pdb2JAM/pdb
PDB-LIG	Q96PN6_PF00211_285_464	4OYO	A	http://doi.org/10.2210/pdb4OYO/pdb
PDB-LIG	Q96PN6_PF00211_37_218	4OZ3	A	http://doi.org/10.2210/pdb4OZ3/pdb
PDB-LIG	Q96PP8_PF02263_18_280	7E5A	A	http://doi.org/10.2210/pdb7E5A/pdb
PDB-LIG	Q96PY6_PF00069_4_258	4B9D	B	http://doi.org/10.2210/pdb4B9D/pdb
PDB-LIG	Q96R05_PF00061_6_134	6E6K	A	http://doi.org/10.2210/pdb6E6K/pdb
PDB-LIG	Q96RG2_PF00069_999_1251	3DLS	F	http://doi.org/10.2210/pdb3DLS/pdb
PDB-LIG	Q96RI1_PF00104_289_471	6HL1	A	http://doi.org/10.2210/pdb6HL1/pdb
PDB-LIG	Q96RR4_PF00069_165_446	5UYJ	A	http://doi.org/10.2210/pdb5UYJ/pdb
PDB-LIG	Q96SB4_PF00069_80_231	5MY8	A	http://doi.org/10.2210/pdb5MY8/pdb
PDB-LIG	Q96SW2_PF03226_319_437	5FQD	E	http://doi.org/10.2210/pdb5FQD/pdb
PDB-LIG	Q96T66_PF01467_10_208	1NUU	A	http://doi.org/10.2210/pdb1NUU/pdb
PDB-LIG	Q96T88_PF12148_132_284	6VYJ	A	http://doi.org/10.2210/pdb6VYJ/pdb
PDB-LIG	Q99259_PF00282_144_518	3VP6	B	http://doi.org/10.2210/pdb3VP6/pdb
PDB-LIG	Q99418_PF01369_61_243	4JXH	A	http://doi.org/10.2210/pdb4JXH/pdb
PDB-LIG	Q99436_PF00227_40_221	5LF1	H	http://doi.org/10.2210/pdb5LF1/pdb
PDB-LIG	Q99447_PF01467_217_333	3ELB	A	http://doi.org/10.2210/pdb3ELB/pdb
PDB-LIG	Q99447_PF01467_26_152	4XSV	A	http://doi.org/10.2210/pdb4XSV/pdb
PDB-LIG	Q99489_PF01266_5_324	6RKF	E	http://doi.org/10.2210/pdb6RKF/pdb
PDB-LIG	Q99496_PF16207_246_330	3IXS	C	http://doi.org/10.2210/pdb3IXS/pdb
PDB-LIG	Q99497_PF01965_4_171	6AFC	A	http://doi.org/10.2210/pdb6AFC/pdb
PDB-LIG	Q99536_PF13602_232_385	6LHR	A	http://doi.org/10.2210/pdb6LHR/pdb
PDB-LIG	Q99558_PF00069_401_649	4IDT	B	http://doi.org/10.2210/pdb4IDT/pdb
PDB-LIG	Q99594_PF17725_223_432	7CNL	D	http://doi.org/10.2210/pdb7CNL/pdb
PDB-LIG	Q99640_PF00069_110_359	5VCZ	A	http://doi.org/10.2210/pdb5VCZ/pdb
PDB-LIG	Q99661_PF00225_264_588	5MIO	C	http://doi.org/10.2210/pdb5MIO/pdb
PDB-LIG	Q99683_PF00069_682_938	6E2N	A	http://doi.org/10.2210/pdb6E2N/pdb
PDB-LIG	Q99707_PF00809_375_613	4CCZ	A	http://doi.org/10.2210/pdb4CCZ/pdb
PDB-LIG	Q99714_PF00106_11_213	2O23	B	http://doi.org/10.2210/pdb2O23/pdb
PDB-LIG	Q99814_PF08447_254_341	3H82	A	http://doi.org/10.2210/pdb3H82/pdb
PDB-LIG	Q99873_PF13649_92_189	6NT2	A	http://doi.org/10.2210/pdb6NT2/pdb
PDB-LIG	Q99986_PF00069_37_324	6BU6	A	http://doi.org/10.2210/pdb6BU6/pdb
PDB-LIG	Q9BPX1_PF13561_14_250	6H0M	A	http://doi.org/10.2210/pdb6H0M/pdb
PDB-LIG	Q9BQ69_PF01661_170_283	6LH4	D	http://doi.org/10.2210/pdb6LH4/pdb
PDB-LIG	Q9BTZ2_PF13561_38_275	3O4R	B	http://doi.org/10.2210/pdb3O4R/pdb
PDB-LIG	Q9BUB5_PF00069_50_172	5WVD	B	http://doi.org/10.2210/pdb5WVD/pdb
PDB-LIG	Q9BUP3_PF13460_25_214	2BKA	A	http://doi.org/10.2210/pdb2BKA/pdb
PDB-LIG	Q9BUT1_PF13561_13_244	2AG5	D	http://doi.org/10.2210/pdb2AG5/pdb
PDB-LIG	Q9BV23_PF00561_72_313	7OTS	B	http://doi.org/10.2210/pdb7OTS/pdb
PDB-LIG	Q9BVA1_PF00091_3_212	6E7C	B	http://doi.org/10.2210/pdb6E7C/pdb
PDB-LIG	Q9BVG8_PF00225_451_768	5WDE	A	http://doi.org/10.2210/pdb5WDE/pdb
PDB-LIG	Q9BWT3_PF04928_20_363	4LT6	B	http://doi.org/10.2210/pdb4LT6/pdb
PDB-LIG	Q9BX68_PF01230_61_158	5KM9	B	http://doi.org/10.2210/pdb5KM9/pdb
PDB-LIG	Q9BXF3_PF00439_443_526	5V84	C	http://doi.org/10.2210/pdb5V84/pdb
PDB-LIG	Q9BY32_PF01725_10_188	2J4E	E	http://doi.org/10.2210/pdb2J4E/pdb
PDB-LIG	Q9BY41_PF00850_31_322	7JVU	B	http://doi.org/10.2210/pdb7JVU/pdb
PDB-LIG	Q9BY76_PF00147_184_400	6U1U	A	http://doi.org/10.2210/pdb6U1U/pdb
PDB-LIG	Q9BYP7_PF00069_147_405	5O26	B	http://doi.org/10.2210/pdb5O26/pdb
PDB-LIG	Q9BZ11_PF01421_210_409	1R55	A	http://doi.org/10.2210/pdb1R55/pdb
PDB-LIG	Q9BZ95_PF00855_271_380	6G25	A	http://doi.org/10.2210/pdb6G25/pdb
PDB-LIG	Q9BZP6_PF00704_23_365	3FY1	A	http://doi.org/10.2210/pdb3FY1/pdb
PDB-LIG	Q9BZX2_PF00485_22_217	1UJ2	A	http://doi.org/10.2210/pdb1UJ2/pdb
PDB-LIG	Q9C0B1_PF12933_36_325	4IE5	A	http://doi.org/10.2210/pdb4IE5/pdb
PDB-LIG	Q9GZT9_PF13640_298_391	4BQY	A	http://doi.org/10.2210/pdb4BQY/pdb
PDB-LIG	Q9GZZ9_PF00899_53_309	6H77	C	http://doi.org/10.2210/pdb6H77/pdb
PDB-LIG	Q9H082_PF00071_35_201	6Y09	B	http://doi.org/10.2210/pdb6Y09/pdb
PDB-LIG	Q9H0F7_PF00025_4_181	2H57	C	http://doi.org/10.2210/pdb2H57/pdb
PDB-LIG	Q9H0U4_PF00071_10_171	3NKV	A	http://doi.org/10.2210/pdb3NKV/pdb
PDB-LIG	Q9H227_PF00232_1_465	2E9L	A	http://doi.org/10.2210/pdb2E9L/pdb
PDB-LIG	Q9H2G2_PF00069_34_292	6HVD	A	http://doi.org/10.2210/pdb6HVD/pdb
PDB-LIG	Q9H2K8_PF00069_24_277	6BDN	A	http://doi.org/10.2210/pdb6BDN/pdb
PDB-LIG	Q9H2X6_PF00069_199_527	7NCF	A	http://doi.org/10.2210/pdb7NCF/pdb
PDB-LIG	Q9H3R0_PF02373_177_293	5FJK	A	http://doi.org/10.2210/pdb5FJK/pdb
PDB-LIG	Q9H422_PF00069_197_525	7O7J	A	http://doi.org/10.2210/pdb7O7J/pdb
PDB-LIG	Q9H477_PF00294_15_314	5C40	A	http://doi.org/10.2210/pdb5C40/pdb
PDB-LIG	Q9H492_PF02991_15_120	6TBE	A	http://doi.org/10.2210/pdb6TBE/pdb
PDB-LIG	Q9H4A3_PF00069_221_479	5WE8	B	http://doi.org/10.2210/pdb5WE8/pdb
PDB-LIG	Q9H4B4_PF00069_62_314	4B6L	A	http://doi.org/10.2210/pdb4B6L/pdb
PDB-LIG	Q9H8M2_PF00439_142_228	6BQA	A	http://doi.org/10.2210/pdb6BQA/pdb
PDB-LIG	Q9HA47_PF00485_25_219	2UVQ	A	http://doi.org/10.2210/pdb2UVQ/pdb
PDB-LIG	Q9HAN9_PF01467_12_229	1KQN	F	http://doi.org/10.2210/pdb1KQN/pdb
PDB-LIG	Q9HAQ2_PF00225_12_340	3NWN	A	http://doi.org/10.2210/pdb3NWN/pdb
PDB-LIG	Q9HAZ1_PF00069_159_475	6FYV	A	http://doi.org/10.2210/pdb6FYV/pdb
PDB-LIG	Q9HB90_PF04670_63_289	6WJ2	G	http://doi.org/10.2210/pdb6WJ2/pdb
PDB-LIG	Q9HBH1_PF01327_64_234	3G5K	C	http://doi.org/10.2210/pdb3G5K/pdb
PDB-LIG	Q9HBH9_PF00069_84_368	2HW7	A	http://doi.org/10.2210/pdb2HW7/pdb
PDB-LIG	Q9HCP0_PF00069_44_304	2CMW	A	http://doi.org/10.2210/pdb2CMW/pdb
PDB-LIG	Q9HD40_PF05889_61_459	4ZDL	B	http://doi.org/10.2210/pdb4ZDL/pdb
PDB-LIG	Q9HD67_PF00063_65_727	5I0H	A	http://doi.org/10.2210/pdb5I0H/pdb
PDB-LIG	Q9NP72_PF00071_10_171	1X3S	A	http://doi.org/10.2210/pdb1X3S/pdb
PDB-LIG	Q9NP87_PF14792_290_387	5VZI	A	http://doi.org/10.2210/pdb5VZI/pdb
PDB-LIG	Q9NP90_PF00071_9_174	2OCB	A	http://doi.org/10.2210/pdb2OCB/pdb
PDB-LIG	Q9NPD8_PF00179_6_147	5NGZ	A	http://doi.org/10.2210/pdb5NGZ/pdb
PDB-LIG	Q9NPI1_PF00439_140_223	5MQ1	A	http://doi.org/10.2210/pdb5MQ1/pdb
PDB-LIG	Q9NQ11_PF00702_507_788	7VPJ	A	http://doi.org/10.2210/pdb7VPJ/pdb
PDB-LIG	Q9NQH7_PF00557_253_482	5X49	B	http://doi.org/10.2210/pdb5X49/pdb
PDB-LIG	Q9NQT8_PF00225_11_353	3GBJ	B	http://doi.org/10.2210/pdb3GBJ/pdb
PDB-LIG	Q9NQU5_PF00069_407_658	4KS7	A	http://doi.org/10.2210/pdb4KS7/pdb
PDB-LIG	Q9NQW7_PF00557_328_544	3CTZ	A	http://doi.org/10.2210/pdb3CTZ/pdb
PDB-LIG	Q9NQX4_PF00063_69_741	4ZG4	B	http://doi.org/10.2210/pdb4ZG4/pdb
PDB-LIG	Q9NR30_PF00270_210_385	6L5N	B	http://doi.org/10.2210/pdb6L5N/pdb
PDB-LIG	Q9NR31_PF00025_12_197	2GAO	B	http://doi.org/10.2210/pdb2GAO/pdb
PDB-LIG	Q9NRD5_PF00595_22_102	6AR4	A	http://doi.org/10.2210/pdb6AR4/pdb
PDB-LIG	Q9NRD9_PF08030_1380_1534	7D3F	A	http://doi.org/10.2210/pdb7D3F/pdb
PDB-LIG	Q9NRF8_PF06418_2_272	7MII	A	http://doi.org/10.2210/pdb7MII/pdb
PDB-LIG	Q9NRG1_PF00156_43_203	2JBH	B	http://doi.org/10.2210/pdb2JBH/pdb
PDB-LIG	Q9NRN9_PF05175_35_170	6H2U	A	http://doi.org/10.2210/pdb6H2U/pdb
PDB-LIG	Q9NRW1_PF00071_15_175	2FFQ	A	http://doi.org/10.2210/pdb2FFQ/pdb
PDB-LIG	Q9NS87_PF00225_32_363	4BN2	B	http://doi.org/10.2210/pdb4BN2/pdb
PDB-LIG	Q9NSY1_PF00069_51_314	4W9W	A	http://doi.org/10.2210/pdb4W9W/pdb
PDB-LIG	Q9NUI1_PF13561_33_271	4FC7	C	http://doi.org/10.2210/pdb4FC7/pdb
PDB-LIG	Q9NV35_PF00293_11_144	7B67	A	http://doi.org/10.2210/pdb7B67/pdb
